,Ano,UF,Domicilio_com_internet,celular_com_internet,Uso_de_3G_ou_4G,internet_banda_larga,microcomputador,Tablet,outro_equipamento,Renda_mensal
118341,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Sim ,2925.0
118342,2014,Santa Catarina,Sim,Não,Sim ,Sim ,Sim ,Não,Não,694.0
118343,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,4000.0
118344,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1125.0
118345,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,2941.0
118346,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1500.0
118347,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1233.0
118349,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1133.0
118351,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,4500.0
118352,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1337.0
118353,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,755.0
118354,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,562.0
118357,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Sim ,2207.0
118359,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,3350.0
118360,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1250.0
118363,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1550.0
118364,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,500.0
118365,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,750.0
118366,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2590.0
118370,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,675.0
118375,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,2666.0
118378,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,4500.0
118386,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,5950.0
118397,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3500.0
118398,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,1750.0
118399,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1125.0
118400,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3000.0
118403,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,2100.0
118404,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,976.0
118406,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,3800.0
118407,2014,Santa Catarina,Sim,Não,Sim ,Sim ,Sim ,Não,Não,1665.0
118410,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2000.0
118411,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,850.0
118413,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1925.0
118416,2014,Santa Catarina,Sim,Não,Não,Não,Sim ,Não,Não,4500.0
118418,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,724.0
118419,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1300.0
118420,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Sim ,Não,5500.0
118421,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,7775.0
118422,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Não,Não,Não,362.0
118424,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,1200.0
118425,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,756.0
118428,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2275.0
118433,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,1400.0
