,Ano,UF,Domicilio_com_internet,celular_com_internet,Uso_de_3G_ou_4G,internet_banda_larga,microcomputador,Tablet,outro_equipamento,Renda_mensal
121506,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,724.0
121510,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,775.0
121512,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,287.0
121515,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Sim ,Não,1537.0
121516,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,816.0
121518,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,587.0
121520,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,400.0
121521,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Sim ,Não,666.0
121525,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,666.0
121529,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1174.0
121531,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3050.0
121532,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1283.0
121533,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2875.0
121534,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Não,Não,Não,825.0
121537,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1666.0
121538,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1747.0
121540,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,1043.0
121542,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1651.0
121543,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1725.0
121544,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1125.0
121545,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2833.0
121546,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1485.0
121547,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,925.0
121548,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2086.0
121549,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,4650.0
121551,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,1600.0
121552,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,6374.0
121554,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1325.0
121556,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2000.0
121557,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1316.0
121558,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,950.0
121567,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,496.0
121571,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,300.0
121575,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,582.0
121581,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,883.0
121583,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,3333.0
121585,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1512.0
121587,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1133.0
121589,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1579.0
121590,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,2687.0
121592,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,231.0
121596,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,900.0
121597,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1300.0
121598,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1810.0
121602,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,1750.0
121605,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2470.0
121607,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,966.0
121610,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2100.0
121613,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,525.0
121614,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,905.0
121615,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1350.0
121616,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2000.0
121621,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2600.0
121623,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1250.0
121624,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Sim ,Não,1450.0
121625,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,616.0
121629,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1166.0
121630,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,4000.0
121631,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2316.0
121632,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,683.0
121633,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1737.0
121635,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,1057.0
121636,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1599.0
121638,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,562.0
121639,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,849.0
121640,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1274.0
121641,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1074.0
121642,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1740.0
121643,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,979.0
121644,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,2066.0
121647,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,600.0
121649,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,1241.0
121651,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,3333.0
121652,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,965.0
121664,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,288.0
121672,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1400.0
121675,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1315.0
121676,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,1000.0
121677,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,3206.0
121678,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,1325.0
121680,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1424.0
121684,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1756.0
121693,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,3133.0
121694,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1400.0
121695,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2133.0
121698,2014,Santa Catarina,Sim,Não,Não,Não,Sim ,Não,Não,1733.0
121700,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,4233.0
121701,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,2416.0
121705,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1121.0
121706,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1000.0
121707,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,1166.0
121708,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1518.0
121709,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2200.0
121710,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1466.0
121711,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1525.0
121713,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,320.0
121714,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3475.0
121715,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1000.0
121717,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,600.0
121718,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,1100.0
121719,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1203.0
121720,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,2000.0
121722,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1556.0
121724,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2250.0
121725,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,3500.0
121727,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1862.0
121729,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Sim ,Não,2250.0
121730,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,4000.0
121734,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1074.0
121735,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,701.0
121737,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2250.0
121739,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1306.0
121740,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,325.0
121741,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,3027.0
121742,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,1200.0
121744,2014,Santa Catarina,Sim,Não,Não,Não,Sim ,Não,Não,2337.0
121745,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1800.0
121747,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2741.0
121748,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,2206.0
121749,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1370.0
121750,2014,Santa Catarina,Sim,Não,Sim ,Não,Sim ,Não,Não,590.0
121753,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,2500.0
121754,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Sim ,Não,1362.0
121759,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1766.0
121763,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,2200.0
121764,2014,Santa Catarina,Sim,Não,Sim ,Sim ,Sim ,Não,Não,2444.0
121766,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,1117.0
121768,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1380.0
121769,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1800.0
121770,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,500.0
121771,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1118.0
121774,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1433.0
121775,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,1593.0
121776,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,1800.0
121778,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,4150.0
121780,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1400.0
121781,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1780.0
121782,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,2280.0
121783,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,2241.0
121786,2014,Santa Catarina,Sim,Não,Sim ,Não,Sim ,Não,Não,1600.0
121787,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,228.0
121790,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,2000.0
121791,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,826.0
121792,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2233.0
121798,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,1400.0
121799,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1266.0
121800,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1100.0
121801,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1116.0
121803,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,900.0
121806,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Não,Sim ,Não,766.0
121807,2014,Santa Catarina,Sim,Não,Sim ,Não,Sim ,Não,Não,1166.0
121809,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2333.0
121815,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,971.0
121816,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,433.0
121821,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1000.0
121822,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1600.0
121823,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,1241.0
121824,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3500.0
121831,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,872.0
121833,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,775.0
121834,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1237.0
121835,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,2000.0
121837,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,721.0
121839,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Sim ,Não,890.0
121841,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,1962.0
121843,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2050.0
121844,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,2000.0
121848,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,183.0
121853,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1003.0
121854,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,5333.0
121855,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,724.0
121856,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1566.0
121858,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,2250.0
121859,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1500.0
121860,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1350.0
121863,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,724.0
121864,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,500.0
121865,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1883.0
121868,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,800.0
121869,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1362.0
121871,2014,Santa Catarina,Sim,Não,Sim ,Não,Sim ,Não,Não,1343.0
121872,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1800.0
121875,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,602.0
121876,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1000.0
121878,2014,Santa Catarina,Sim,Não,Sim ,Não,Sim ,Não,Não,620.0
121879,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,2000.0
121880,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,12500.0
121881,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,500.0
121882,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,833.0
121883,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,5300.0
121884,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2000.0
121885,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,6750.0
121890,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,486.0
121897,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1237.0
121902,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,962.0
121904,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,2000.0
121905,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3500.0
121907,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1780.0
121908,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1000.0
121909,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1933.0
121912,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,2000.0
121913,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,1433.0
121914,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2032.0
121915,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,1643.0
121916,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,864.0
121918,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,266.0
121920,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,875.0
121921,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2050.0
121922,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,250.0
121927,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1656.0
121928,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1400.0
121931,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,700.0
121933,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1453.0
121934,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,641.0
121935,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,666.0
121937,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1266.0
121938,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1500.0
121939,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1500.0
121941,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1203.0
121947,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,666.0
121948,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,280.0
121953,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1666.0
121960,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1866.0
121961,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Sim ,Não,950.0
121962,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,1875.0
121967,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1200.0
121970,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1466.0
121972,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,5400.0
121993,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,2000.0
121997,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1300.0
122006,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Sim ,Não,2900.0
122011,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1000.0
122016,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,186.0
122026,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1000.0
122030,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,325.0
122032,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Sim ,Não,833.0
122033,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,290.0
122037,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2066.0
122039,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,684.0
122043,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,516.0
122044,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1679.0
122045,2014,Santa Catarina,Sim,Não,Sim ,Sim ,Sim ,Não,Não,960.0
122048,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,2850.0
122050,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1000.0
122051,2014,Santa Catarina,Sim,Não,Sim ,Não,Sim ,Não,Não,2000.0
122052,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1500.0
122055,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1325.0
122056,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3100.0
122059,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1166.0
122062,2014,Santa Catarina,Sim,Não,Não,Não,Sim ,Não,Não,600.0
122088,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,2200.0
122089,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1108.0
122090,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,661.0
122091,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,293.0
122097,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1300.0
122098,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,2112.0
122100,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,444.0
122103,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,844.0
122106,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,0.0
122107,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1956.0
122114,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1796.0
122116,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,950.0
122117,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,2184.0
122118,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3666.0
122119,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1750.0
122120,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,10000.0
122121,2014,Santa Catarina,Sim,Não,Não,Não,Sim ,Não,Não,724.0
122124,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,3724.0
122126,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,2833.0
122127,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,2500.0
122134,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1325.0
122136,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1900.0
122137,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,400.0
122138,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,6666.0
122141,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,837.0
122146,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Sim ,Não,4012.0
122147,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Sim ,Não,5900.0
122149,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,2000.0
122151,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Não,Não,Não,3100.0
122152,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,1400.0
122154,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,533.0
122156,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,2266.0
122157,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1172.0
122158,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1350.0
122160,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,2233.0
122162,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Sim ,Não,774.0
122163,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,750.0
122166,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,1600.0
122167,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,586.0
122168,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,833.0
122169,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,318.0
122171,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,806.0
122172,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,491.0
122176,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1600.0
122177,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1133.0
122178,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,941.0
122179,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,1107.0
122180,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,741.0
