,Ano,UF,Tv_assinatura,TV_antena_parabolica,Domicilio_com_internet,celular_com_internet,Uso_de_3G_ou_4G,internet_banda_larga,microcomputador,Tablet,outro_equipamento,Renda_mensal
118193,2015,Santa Catarina,Sim,Não,Sim,Sim,Não,Sim ,Sim ,Sim ,Não,1433.0
118197,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,900.0
118198,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1730.0
118199,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,1957.0
118200,2015,Santa Catarina,Sim,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,2000.0
118204,2015,Santa Catarina,Sim,Sim,Sim,Sim,Não,Sim ,Não,Não,Não,594.0
118210,2015,Santa Catarina,Não,Sim,Sim,Não,Não,Sim ,Sim ,Não,Não,178.0
118215,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,2133.0
118216,2015,Santa Catarina,Sim,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,2618.0
118217,2015,Santa Catarina,Não,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,1175.0
118218,2015,Santa Catarina,Não,Sim,Sim,Não,Não,Sim ,Sim ,Não,Não,700.0
118219,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,637.0
118221,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,1000.0
118222,2015,Santa Catarina,Não,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,1000.0
118223,2015,Santa Catarina,Sim,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,2150.0
118225,2015,Santa Catarina,Sim,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,2339.0
118226,2015,Santa Catarina,Não,Não,Sim,Sim,Não,Sim ,Sim ,Não,Não,596.0
118228,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1800.0
118229,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1716.0
