,Ano,UF,Tv_assinatura,TV_antena_parabolica,Domicilio_com_internet,celular_com_internet,Uso_de_3G_ou_4G,internet_banda_larga,Renda_mensal,microcomputador,Tablet,outro_equipamento
117880,2013,SC,Não,Sim,Não,,,,1600.0,,,
117881,2013,SC,Não,Não,Não,,,,347.0,,,
117883,2013,SC,Não,Sim,Não,,,,824.0,,,
117884,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,1516.0,Sim ,Não,Não
117885,2013,SC,Não,Não,Sim ,Sim ,Não,Sim ,525.0,Sim ,Não,Não
117886,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,1630.0,Sim ,Não,Não
117889,2013,SC,Sim,Não,Não,,,,1083.0,,,
117890,2013,SC,Sim,Sim,Não,,,,1800.0,,,
117893,2013,SC,Não,Não,Sim ,Sim ,Sim ,Sim ,395.0,Sim ,Não,Não
117895,2013,SC,Não,Sim,Não,,,,946.0,,,
117897,2013,SC,Não,Sim,Não,,,,715.0,,,
117898,2013,SC,Não,Não,Não,,,,108.0,,,
117899,2013,SC,Não,Sim,Não,,,,1739.0,,,
117900,2013,SC,,,Não,,,,1230.0,,,
117903,2013,SC,Sim,Sim,Não,,,,800.0,,,
117906,2013,SC,Não,Não,Não,,,,780.0,,,
117907,2013,SC,Sim,Não,Não,,,,555.0,,,
117910,2013,SC,Não,Sim,Não,,,,650.0,,,
117914,2013,SC,Não,Sim,Não,,,,1358.0,,,
117920,2013,SC,Sim,Não,Sim ,Sim ,Sim ,Não,1034.0,Sim ,Não,Não
117924,2013,SC,Não,Sim,Não,,,,1789.0,,,
117926,2013,SC,Não,Não,Não,,,,1018.0,,,
117928,2013,SC,Não,Sim,Não,,,,16.0,,,
117940,2013,SC,Não,Não,Não,,,,678.0,,,
117942,2013,SC,Não,Sim,Não,,,,678.0,,,
117943,2013,SC,Sim,Sim,Sim ,Não,Não,Sim ,1233.0,Sim ,Não,Não
117944,2013,SC,Não,Sim,Não,,,,678.0,,,
117945,2013,SC,Não,Sim,Não,,,,275.0,,,
117946,2013,SC,Não,Sim,Não,,,,935.0,,,
117948,2013,SC,Não,Sim,Sim ,Não,Não,Não,750.0,Sim ,Não,Não
117949,2013,SC,Não,Sim,Sim ,Não,Sim ,Não,849.0,Sim ,Não,Não
117950,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,1803.0,Sim ,Não,Não
117951,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,1118.0,Sim ,Não,Não
117952,2013,SC,Não,Sim,Sim ,Sim ,Não,Sim ,669.0,Sim ,Sim ,Não
117956,2013,SC,Não,Sim,Sim ,Sim ,Não,Sim ,800.0,Sim ,Não,Não
117957,2013,SC,Sim,Sim,Não,,,,7015.0,,,
117958,2013,SC,Sim,Sim,Sim ,Não,Não,Sim ,642.0,Sim ,Não,Não
117960,2013,SC,Não,Não,Sim ,Sim ,Sim ,Não,330.0,Não,Não,Não
117961,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,459.0,Sim ,Não,Não
117962,2013,SC,Não,Sim,Não,,,,486.0,,,
117963,2013,SC,,,Não,,,,0.0,,,
117964,2013,SC,Não,Sim,Não,,,,459.0,,,
117965,2013,SC,Não,Sim,Não,,,,282.0,,,
117966,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,652.0,Sim ,Não,Não
117970,2013,SC,Não,Sim,Não,,,,678.0,,,
117972,2013,SC,Não,Sim,Não,,,,678.0,,,
117975,2013,SC,Não,Não,Não,,,,556.0,,,
117976,2013,SC,Não,Sim,Não,,,,852.0,,,
117979,2013,SC,Não,Sim,Não,,,,550.0,,,
117980,2013,SC,Não,Sim,Não,,,,464.0,,,
117982,2013,SC,Não,Sim,Não,,,,0.0,,,
117984,2013,SC,Não,Sim,Não,,,,339.0,,,
117985,2013,SC,Não,Sim,Não,,,,405.0,,,
117986,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,2100.0,Sim ,Não,Não
117989,2013,SC,Não,Sim,Não,,,,1356.0,,,
117991,2013,SC,Não,Sim,Não,,,,300.0,,,
117993,2013,SC,Não,Não,Não,,,,433.0,,,
117996,2013,SC,Não,Não,Não,,,,1017.0,,,
117997,2013,SC,Não,Sim,Não,,,,645.0,,,
117998,2013,SC,Não,Sim,Não,,,,610.0,,,
117999,2013,SC,Não,Não,Não,,,,168.0,,,
118000,2013,SC,,,Não,,,,678.0,,,
118003,2013,SC,Não,Não,Não,,,,520.0,,,
118004,2013,SC,Não,Sim,Não,,,,779.0,,,
118006,2013,SC,Não,Não,Não,,,,678.0,,,
118009,2013,SC,Não,Não,Não,,,,939.0,,,
118014,2013,SC,Não,Não,Não,,,,678.0,,,
118015,2013,SC,Sim,Sim,Não,,,,1900.0,,,
118017,2013,SC,Não,Não,Não,,,,700.0,,,
118018,2013,SC,Não,Sim,Não,,,,416.0,,,
118019,2013,SC,Não,Sim,Não,,,,400.0,,,
118023,2013,SC,Não,Sim,Não,,,,10.0,,,
118024,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,1120.0,Sim ,Não,Não
118026,2013,SC,Não,Sim,Sim ,Sim ,Não,Sim ,733.0,Sim ,Não,Não
118027,2013,SC,Não,Sim,Não,,,,1705.0,,,
118028,2013,SC,Sim,Não,Não,,,,500.0,,,
118030,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,833.0,Sim ,Não,Não
118031,2013,SC,Não,Sim,Não,,,,1033.0,,,
118032,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,530.0,Sim ,Não,Não
118033,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,1033.0,Sim ,Não,Não
118034,2013,SC,Não,Sim,Sim ,Sim ,Sim ,Sim ,1400.0,Sim ,Sim ,Não
118035,2013,SC,Não,Sim,Não,,,,1300.0,,,
118036,2013,SC,Não,Sim,Não,,,,966.0,,,
118037,2013,SC,Sim,Sim,Sim ,Não,Não,Sim ,1952.0,Sim ,Não,Não
118038,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,959.0,Sim ,Não,Não
118040,2013,SC,Não,Sim,Sim ,Não,Não,Não,877.0,Sim ,Não,Não
118041,2013,SC,Não,Sim,Sim ,Sim ,Não,Sim ,1994.0,Sim ,Sim ,Não
118043,2013,SC,Não,Sim,Sim ,Não,Não,Não,580.0,Sim ,Não,Não
118045,2013,SC,Sim,Não,Não,,,,1339.0,,,
118046,2013,SC,Não,Não,Sim ,Não,Não,Sim ,650.0,Sim ,Não,Não
118047,2013,SC,Sim,Sim,Não,,,,250.0,,,
118048,2013,SC,Não,Não,Sim ,Sim ,Sim ,Não,866.0,Sim ,Não,Não
118049,2013,SC,Não,Sim,Sim ,Sim ,Sim ,Sim ,1339.0,Sim ,Não,Não
118050,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,375.0,Sim ,Não,Não
118051,2013,SC,Não,Não,Sim ,Não,Não,Sim ,400.0,Sim ,Sim ,Não
118052,2013,SC,Sim,Não,Sim ,Sim ,Sim ,Não,496.0,Não,Não,Não
118053,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,500.0,Sim ,Não,Não
118054,2013,SC,Sim,Sim,Não,,,,1213.0,,,
118055,2013,SC,Não,Não,Sim ,Não,Não,Sim ,550.0,Sim ,Não,Não
118056,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,900.0,Sim ,Não,Não
118057,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,1500.0,Sim ,Não,Não
118058,2013,SC,Não,Não,Não,,,,1250.0,,,
118059,2013,SC,Não,Sim,Sim ,Sim ,Sim ,Sim ,1000.0,Sim ,Sim ,Não
118060,2013,SC,Sim,Sim,Sim ,Não,Não,Não,1436.0,Sim ,Não,Não
118061,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,1400.0,Sim ,Não,Não
118062,2013,SC,Não,Sim,Não,,,,3750.0,,,
118063,2013,SC,Não,Não,Sim ,Não,Não,Sim ,1225.0,Sim ,Não,Não
118064,2013,SC,Sim,Não,Não,,,,1083.0,,,
118065,2013,SC,Sim,Não,Não,,,,1200.0,,,
118066,2013,SC,Não,Não,Não,,,,1650.0,,,
118068,2013,SC,Sim,Não,Sim ,Não,Sim ,Não,1162.0,Sim ,Não,Não
118069,2013,SC,Não,Não,Não,,,,575.0,,,
118070,2013,SC,Não,Sim,Não,,,,678.0,,,
118071,2013,SC,Sim,Não,Não,,,,725.0,,,
118072,2013,SC,Não,Não,Não,,,,360.0,,,
118073,2013,SC,Não,Sim,Não,,,,678.0,,,
118077,2013,SC,Não,Sim,Não,,,,1258.0,,,
118078,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,689.0,Sim ,Não,Não
118080,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,1212.0,Sim ,Não,Não
118081,2013,SC,,,Não,,,,1600.0,,,
118082,2013,SC,Não,Sim,Não,,,,709.0,,,
118083,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,1111.0,Sim ,Não,Não
118084,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,550.0,Sim ,Não,Não
118085,2013,SC,Não,Não,Sim ,Não,Não,Sim ,1346.0,Sim ,Não,Não
118086,2013,SC,Não,Sim,Sim ,Sim ,Sim ,Não,639.0,Não,Não,Não
118087,2013,SC,Sim,Não,Não,,,,2000.0,,,
118088,2013,SC,Não,Sim,Não,,,,739.0,,,
118089,2013,SC,Não,Sim,Não,,,,852.0,,,
118090,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,390.0,Sim ,Não,Não
118094,2013,SC,Não,Sim,Não,,,,1356.0,,,
118095,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,452.0,Sim ,Não,Não
118096,2013,SC,Não,Sim,Não,,,,1126.0,,,
118100,2013,SC,Não,Sim,Não,,,,1356.0,,,
118101,2013,SC,Não,Sim,Não,,,,1425.0,,,
118102,2013,SC,Sim,Sim,Sim ,Não,Não,Sim ,575.0,Sim ,Não,Não
118107,2013,SC,Sim,Sim,Não,,,,1419.0,,,
118109,2013,SC,Não,Sim,Não,,,,666.0,,,
118110,2013,SC,Não,Não,Não,,,,509.0,,,
118114,2013,SC,Não,Não,Não,,,,275.0,,,
118115,2013,SC,Não,Não,Não,,,,326.0,,,
118116,2013,SC,Não,Sim,Não,,,,1000.0,,,
118119,2013,SC,Não,Sim,Não,,,,142.0,,,
118120,2013,SC,Não,Sim,Não,,,,400.0,,,
118121,2013,SC,Não,Sim,Não,,,,666.0,,,
118123,2013,SC,Não,Não,Não,,,,535.0,,,
118124,2013,SC,Não,Sim,Não,,,,741.0,,,
118125,2013,SC,Não,Não,Não,,,,694.0,,,
118127,2013,SC,Sim,Sim,Não,,,,392.0,,,
118128,2013,SC,Não,Não,Não,,,,678.0,,,
118129,2013,SC,Não,Sim,Não,,,,718.0,,,
118130,2013,SC,Não,Sim,Não,,,,500.0,,,
118131,2013,SC,Não,Sim,Não,,,,904.0,,,
118132,2013,SC,Não,Sim,Não,,,,678.0,,,
118133,2013,SC,Não,Sim,Sim ,Sim ,Sim ,Não,700.0,Sim ,Sim ,Não
118134,2013,SC,Não,Sim,Não,,,,795.0,,,
118135,2013,SC,Não,Sim,Não,,,,2500.0,,,
118136,2013,SC,Não,Sim,Sim ,Não,Sim ,Não,833.0,Sim ,Não,Não
118137,2013,SC,Não,Sim,Sim ,Sim ,Sim ,Sim ,867.0,Sim ,Não,Não
118138,2013,SC,Não,Não,Não,,,,1139.0,,,
118139,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,833.0,Sim ,Não,Não
118140,2013,SC,Não,Sim,Sim ,Sim ,Não,Sim ,1125.0,Sim ,Não,Não
118141,2013,SC,Não,Sim,Não,,,,800.0,,,
118142,2013,SC,Não,Sim,Não,,,,1200.0,,,
118143,2013,SC,Não,Sim,Não,,,,597.0,,,
118144,2013,SC,Não,Sim,Não,,,,678.0,,,
118145,2013,SC,Não,Sim,Não,,,,866.0,,,
118146,2013,SC,Não,Sim,Não,,,,516.0,,,
118147,2013,SC,Não,Sim,Não,,,,1400.0,,,
118148,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,867.0,Sim ,Não,Não
118149,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,2034.0,Sim ,Não,Não
118151,2013,SC,Não,Sim,Sim ,Não,Sim ,Não,500.0,Sim ,Não,Não
118153,2013,SC,Não,Não,Não,,,,978.0,,,
118155,2013,SC,Não,Sim,Não,,,,678.0,,,
118156,2013,SC,Não,Sim,Sim ,Não,Sim ,Não,2500.0,Sim ,Não,Não
118157,2013,SC,Não,Não,Não,,,,350.0,,,
118160,2013,SC,Não,Não,Não,,,,678.0,,,
118161,2013,SC,Não,Sim,Não,,,,339.0,,,
118162,2013,SC,Não,Não,Não,,,,452.0,,,
118163,2013,SC,Não,Sim,Não,,,,237.0,,,
118164,2013,SC,Não,Não,Não,,,,389.0,,,
118166,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,1200.0,Sim ,Não,Não
118169,2013,SC,Não,Sim,Não,,,,1900.0,,,
118170,2013,SC,Sim,Não,Não,,,,3500.0,,,
118173,2013,SC,Não,Não,Não,,,,1385.0,,,
118174,2013,SC,Não,Sim,Não,,,,1400.0,,,
118175,2013,SC,Não,Não,Sim ,Não,Não,Sim ,400.0,Sim ,Não,Não
118178,2013,SC,Sim,Não,Não,,,,1150.0,,,
118179,2013,SC,Não,Não,Sim ,Não,Não,Sim ,3800.0,Sim ,Não,Não
118180,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,6500.0,Sim ,Sim ,Não
118181,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,1466.0,Não,Não,Não
118183,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,2300.0,Sim ,Não,Não
118185,2013,SC,Não,Não,Não,,,,3550.0,,,
118186,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,833.0,Sim ,Não,Não
118187,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,2500.0,Sim ,Não,Não
118188,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,2466.0,Sim ,Não,Não
118189,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,3271.0,Sim ,Não,Não
118191,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,1200.0,Sim ,Sim ,Não
118194,2013,SC,Não,Sim,Não,,,,1356.0,,,
118195,2013,SC,Não,Sim,Não,,,,1475.0,,,
118196,2013,SC,Não,Não,Não,,,,1700.0,,,
118197,2013,SC,Sim,Não,Sim ,Sim ,Sim ,Não,800.0,Sim ,Não,Não
118198,2013,SC,Não,Sim,Não,,,,1189.0,,,
118201,2013,SC,Não,Não,Sim ,Não,Sim ,Não,960.0,Sim ,Não,Não
118203,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,571.0,Sim ,Não,Não
118204,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,1500.0,Sim ,Não,Não
118205,2013,SC,Não,Não,Sim ,Não,Sim ,Não,1466.0,Sim ,Não,Não
118206,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,1666.0,Sim ,Não,Não
118207,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,1175.0,Sim ,Sim ,Não
118208,2013,SC,Não,Não,Não,,,,975.0,,,
118209,2013,SC,Sim,Sim,Sim ,Não,Não,Sim ,3500.0,Sim ,Não,Não
118210,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,2000.0,Sim ,Sim ,Não
118211,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,1247.0,Sim ,Não,Não
118213,2013,SC,,,Sim ,Não,Não,Sim ,733.0,Sim ,Não,Não
118214,2013,SC,Não,Sim,Sim ,Sim ,Não,Sim ,1420.0,Sim ,Não,Não
118216,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,300.0,Sim ,Não,Não
118218,2013,SC,Sim,Não,Não,,,,955.0,,,
118219,2013,SC,Não,Sim,Sim ,Sim ,Não,Sim ,1125.0,Sim ,Sim ,Não
118221,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,805.0,Sim ,Não,Não
118222,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,500.0,Sim ,Não,Não
118227,2013,SC,Não,Sim,Não,,,,1089.0,,,
118228,2013,SC,Não,Não,Sim ,Sim ,Não,Sim ,1062.0,Sim ,Não,Não
118231,2013,SC,Sim,Sim,Sim ,Não,Não,Sim ,1666.0,Sim ,Não,Não
118232,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,5500.0,Sim ,Não,Não
118233,2013,SC,Sim,Não,Não,,,,1356.0,,,
118236,2013,SC,Não,Não,Não,,,,700.0,,,
118238,2013,SC,Sim,Sim,Não,,,,1633.0,,,
118239,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,1500.0,Sim ,Não,Não
118240,2013,SC,Não,Não,Sim ,Sim ,Não,Sim ,1500.0,Sim ,Não,Não
118241,2013,SC,Não,Não,Não,,,,344.0,,,
118242,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,1500.0,Sim ,Não,Não
118243,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,2400.0,Sim ,Não,Não
118245,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,666.0,Sim ,Não,Não
118246,2013,SC,Sim,Sim,Não,,,,750.0,,,
118247,2013,SC,Não,Não,Não,,,,889.0,,,
118252,2013,SC,Não,Não,Não,,,,925.0,,,
118253,2013,SC,Sim,Não,Não,,,,653.0,,,
118255,2013,SC,Não,Não,Sim ,Não,Não,Sim ,150.0,Sim ,Não,Não
118256,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,3000.0,Sim ,Não,Não
118257,2013,SC,Não,Não,Não,,,,0.0,,,
118258,2013,SC,Não,Sim,Não,,,,1250.0,,,
118259,2013,SC,Não,Sim,Não,,,,1400.0,,,
118260,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,1420.0,Sim ,Não,Não
118262,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,650.0,Sim ,Não,Não
118263,2013,SC,Não,Não,Não,,,,1000.0,,,
118265,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,478.0,Sim ,Não,Não
118266,2013,SC,Sim,Não,Sim ,Sim ,Sim ,Não,0.0,Sim ,Não,Não
118269,2013,SC,Não,Não,Não,,,,130.0,,,
118271,2013,SC,Sim,Não,Não,,,,700.0,,,
118272,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,1150.0,Sim ,Não,Não
118273,2013,SC,Não,Não,Sim ,Sim ,Não,Sim ,1409.0,Não,Não,Não
118275,2013,SC,Não,Não,Não,,,,1200.0,,,
118276,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,660.0,Sim ,Não,Não
118278,2013,SC,Sim,Não,Não,,,,800.0,,,
118279,2013,SC,Sim,Não,Sim ,Não,Sim ,Não,1050.0,Sim ,Não,Não
118280,2013,SC,Não,Não,Sim ,Não,Não,Sim ,733.0,Sim ,Não,Não
118282,2013,SC,Não,Não,Não,,,,300.0,,,
118285,2013,SC,Não,Sim,Sim ,Sim ,Não,Sim ,0.0,Sim ,Não,Não
118286,2013,SC,Não,Sim,Sim ,Sim ,Não,Sim ,3886.0,Sim ,Não,Não
118288,2013,SC,Não,Não,Sim ,Não,Não,Sim ,1500.0,Sim ,Não,Não
118289,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,3833.0,Sim ,Não,Não
118291,2013,SC,Não,Não,Sim ,Não,Sim ,Não,2200.0,Sim ,Não,Não
118292,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,1263.0,Sim ,Não,Não
118293,2013,SC,Sim,Não,Não,,,,1666.0,,,
118296,2013,SC,Não,Não,Não,,,,2626.0,,,
118299,2013,SC,Não,Não,Sim ,Não,Não,Sim ,1350.0,Sim ,Não,Não
118300,2013,SC,Não,Não,Sim ,Sim ,Sim ,Não,1500.0,Não,Não,Não
118301,2013,SC,Não,Não,Sim ,Não,Sim ,Não,1100.0,Sim ,Não,Não
118302,2013,SC,Não,Sim,Não,,,,1356.0,,,
118305,2013,SC,Sim,Não,Sim ,Sim ,Sim ,Não,5833.0,Sim ,Não,Não
118306,2013,SC,Não,Não,Não,,,,1200.0,,,
118308,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,2066.0,Sim ,Não,Não
118309,2013,SC,Não,Não,Sim ,Não,Não,Sim ,800.0,Sim ,Não,Não
118310,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,1066.0,Sim ,Não,Não
118311,2013,SC,Não,Não,Não,,,,900.0,,,
118313,2013,SC,Não,Sim,Sim ,Sim ,Não,Sim ,566.0,Sim ,Sim ,Não
118314,2013,SC,Não,Sim,Não,,,,1180.0,,,
118315,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,1350.0,Sim ,Não,Não
118316,2013,SC,Sim,Não,Sim ,Não,Sim ,Não,2993.0,Sim ,Sim ,Não
118317,2013,SC,Não,Não,Não,,,,841.0,,,
118318,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,3166.0,Sim ,Sim ,Não
118319,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,1300.0,Sim ,Não,Não
118320,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,727.0,Sim ,Não,Não
118321,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,727.0,Sim ,Não,Não
118322,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,1895.0,Sim ,Sim ,Não
118323,2013,SC,Não,Não,Sim ,Sim ,Sim ,Não,1300.0,Não,Não,Não
118325,2013,SC,Não,Sim,Não,,,,511.0,,,
118326,2013,SC,Não,Não,Não,,,,426.0,,,
118327,2013,SC,Sim,Não,Não,,,,1000.0,,,
118328,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,850.0,Sim ,Não,Não
118329,2013,SC,Não,Não,Sim ,Não,Não,Sim ,1392.0,Sim ,Não,Não
118331,2013,SC,Não,Sim,Sim ,Sim ,Sim ,Não,290.0,Não,Não,Não
118332,2013,SC,Não,Sim,Sim ,Sim ,Sim ,Não,750.0,Sim ,Não,Não
118333,2013,SC,Não,Não,Não,,,,4500.0,,,
118334,2013,SC,Não,Sim,Não,,,,962.0,,,
118336,2013,SC,Não,Sim,Sim ,Sim ,Sim ,Não,1052.0,Sim ,Não,Não
118337,2013,SC,Não,Não,Não,,,,631.0,,,
118338,2013,SC,Não,Sim,Não,,,,1475.0,,,
118339,2013,SC,Não,Não,Não,,,,300.0,,,
118340,2013,SC,Não,Sim,Sim ,Sim ,Sim ,Não,1683.0,Sim ,Não,Não
118341,2013,SC,Não,Sim,Sim ,Sim ,Não,Sim ,1733.0,Sim ,Não,Não
118342,2013,SC,Não,Sim,Não,,,,443.0,,,
118343,2013,SC,Não,Sim,Não,,,,1483.0,,,
118344,2013,SC,Não,Não,Não,,,,1339.0,,,
118345,2013,SC,Não,Não,Não,,,,430.0,,,
118346,2013,SC,Não,Não,Não,,,,956.0,,,
118350,2013,SC,Não,Sim,Não,,,,1625.0,,,
118351,2013,SC,Sim,Não,Sim ,Sim ,Sim ,Não,783.0,Sim ,Sim ,Não
118352,2013,SC,Não,Não,Não,,,,576.0,,,
118353,2013,SC,Não,Não,Sim ,Sim ,Não,Sim ,2751.0,Sim ,Não,Não
118355,2013,SC,Não,Não,Sim ,Não,Não,Sim ,2000.0,Sim ,Não,Não
118357,2013,SC,Não,Sim,Não,,,,2145.0,,,
118359,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,5300.0,Sim ,Não,Não
118362,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,100.0,Sim ,Não,Não
118363,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,637.0,Sim ,Não,Não
118364,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,1550.0,Sim ,Não,Não
118365,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,650.0,Sim ,Não,Não
118367,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,1487.0,Sim ,Não,Não
118368,2013,SC,Não,Sim,Sim ,Sim ,Sim ,Não,502.0,Não,Não,Não
118369,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,750.0,Sim ,Não,Não
118370,2013,SC,Não,Sim,Não,,,,1200.0,,,
118371,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,700.0,Sim ,Não,Não
118372,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,926.0,Sim ,Não,Não
118373,2013,SC,Não,Não,Não,,,,1356.0,,,
118374,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,3500.0,Sim ,Não,Não
118375,2013,SC,Não,Sim,Não,,,,892.0,,,
118376,2013,SC,Não,Sim,Sim ,Sim ,Não,Sim ,774.0,Sim ,Não,Não
118379,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,878.0,Sim ,Não,Não
118383,2013,SC,Não,Não,Não,,,,1000.0,,,
118384,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,3700.0,Sim ,Sim ,Não
118385,2013,SC,Não,Sim,Sim ,Sim ,Sim ,Não,2652.0,Sim ,Não,Não
118386,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,3150.0,Sim ,Não,Não
118387,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,3033.0,Sim ,Sim ,Não
118392,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,700.0,Sim ,Não,Não
118394,2013,SC,Sim,Não,Sim ,Sim ,Sim ,Sim ,1525.0,Sim ,Não,Não
118396,2013,SC,Não,Não,Sim ,Não,Não,Sim ,1625.0,Sim ,Não,Não
118398,2013,SC,Não,Não,Não,,,,900.0,,,
118399,2013,SC,Não,Não,Não,,,,678.0,,,
118400,2013,SC,Sim,Não,Sim ,Não,Sim ,Sim ,339.0,Sim ,Não,Não
118404,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,925.0,Sim ,Não,Não
118405,2013,SC,Sim,Não,Não,,,,928.0,,,
118407,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,2500.0,Sim ,Não,Não
118408,2013,SC,Não,Não,Não,,,,1450.0,,,
118411,2013,SC,Não,Sim,Não,,,,0.0,,,
118413,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,600.0,Sim ,Não,Não
118414,2013,SC,Não,Não,Não,,,,500.0,,,
118415,2013,SC,Não,Não,Não,,,,1000.0,,,
118416,2013,SC,Não,Não,Não,,,,48.0,,,
118417,2013,SC,Não,Sim,Não,,,,0.0,,,
118418,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,3300.0,Sim ,Não,Não
118419,2013,SC,Não,Sim,Não,,,,1500.0,,,
118420,2013,SC,Não,Não,Sim ,Sim ,Não,Sim ,271.0,Sim ,Não,Não
118421,2013,SC,Não,Não,Sim ,Não,Não,Sim ,908.0,Sim ,Não,Não
118422,2013,SC,Não,Não,Não,,,,625.0,,,
118423,2013,SC,Não,Não,Sim ,Sim ,Não,Sim ,1100.0,Sim ,Não,Não
118424,2013,SC,Não,Não,Não,,,,679.0,,,
118426,2013,SC,Sim,Não,Sim ,Sim ,Sim ,Sim ,625.0,Sim ,Não,Não
118427,2013,SC,Não,Não,Sim ,Não,Não,Sim ,740.0,Sim ,Não,Não
118428,2013,SC,Não,Não,Sim ,Não,Não,Não,700.0,Sim ,Não,Não
118429,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,1400.0,Sim ,Não,Não
118430,2013,SC,Não,Não,Não,,,,900.0,,,
118432,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,850.0,Não,Não,Não
118433,2013,SC,Não,Não,Não,,,,1500.0,,,
118434,2013,SC,Não,Não,Não,,,,1356.0,,,
118435,2013,SC,,,Não,,,,800.0,,,
